human_resistance,gsr_average,emotion
-37,228,Şaşırmış Durum
28,392,Mutlu Durum
-7,27,Rahatlamış Durum
-39,737,Sinirli Durum
-20,178,Heyecanlı Durum
-1438,787,Üzgün Durum
-34,130,Şaşırmış Durum
-1,196,Şaşırmış Durum
-42,15,Rahatlamış Durum
18,469,Mutlu Durum
-48,192,Sinirli Durum
35,416,Mutlu Durum
-46,19,Rahatlamış Durum
-34,130,Şaşırmış Durum
-1840,315,Üzgün Durum
-31,149,Heyecanlı Durum
-35,195,Şaşırmış Durum
-1548,451,Üzgün Durum
-64,247,Sinirli Durum
-61,28,Rahatlamış Durum
-76,96,Heyecanlı Durum
31,387,Mutlu Durum
-995,72,Üzgün Durum
-9,126,Şaşırmış Durum
-33,243,Şaşırmış Durum
-10,219,Heyecanlı Durum
-46,589,Sinirli Durum
-57,30,Rahatlamış Durum
-81,756,Sinirli Durum
-52,20,Rahatlamış Durum
-45,567,Sinirli Durum
-45,254,Sinirli Durum
8,180,Heyecanlı Durum
-88,94,Heyecanlı Durum
-1390,393,Üzgün Durum
20,365,Mutlu Durum
-2987,565,Üzgün Durum
-2557,793,Üzgün Durum
-1574,440,Üzgün Durum
-1,187,Şaşırmış Durum
-1940,199,Üzgün Durum
32,380,Mutlu Durum
2,32,Rahatlamış Durum
-7,26,Rahatlamış Durum
21,361,Mutlu Durum
-57,72,Heyecanlı Durum
-52,273,Sinirli Durum
-3243,356,Üzgün Durum
-21,223,Şaşırmış Durum
-58,574,Sinirli Durum
34,17,Rahatlamış Durum
-135,518,Üzgün Durum
21,35,Rahatlamış Durum
-108,536,Üzgün Durum
-7,231,Şaşırmış Durum
11,211,Heyecanlı Durum
-40,528,Sinirli Durum
33,435,Mutlu Durum
-1141,208,Üzgün Durum
-93,24,Sinirli Durum
-79,161,Heyecanlı Durum
-16,22,Rahatlamış Durum
0,19,Rahatlamış Durum
19,130,Şaşırmış Durum
-68,61,Sinirli Durum
17,257,Şaşırmış Durum
15,400,Mutlu Durum
-22,154,Şaşırmış Durum
12,198,Heyecanlı Durum
-38,18,Rahatlamış Durum
-92,442,Sinirli Durum
9,247,Şaşırmış Durum
34,35,Rahatlamış Durum
-1557,188,Üzgün Durum
-93,155,Sinirli Durum
-80,371,Sinirli Durum
18,429,Mutlu Durum
-79,181,Heyecanlı Durum
35,419,Mutlu Durum
-37,238,Şaşırmış Durum
-732,607,Üzgün Durum
-71,196,Heyecanlı Durum
-49,180,Sinirli Durum
-58,28,Rahatlamış Durum
-96,718,Sinirli Durum
-309,91,Üzgün Durum
-53,793,Sinirli Durum
-28,151,Şaşırmış Durum
-829,442,Üzgün Durum
-22,209,Şaşırmış Durum
17,15,Rahatlamış Durum
25,148,Heyecanlı Durum
-8,171,Şaşırmış Durum
30,397,Mutlu Durum
-30,12,Rahatlamış Durum
16,392,Mutlu Durum
-229,602,Üzgün Durum
-16,25,Rahatlamış Durum
15,452,Mutlu Durum
-62,166,Heyecanlı Durum
-53,593,Sinirli Durum
-689,661,Üzgün Durum
-7,232,Şaşırmış Durum
29,378,Mutlu Durum
-2278,649,Üzgün Durum
32,474,Mutlu Durum
22,457,Mutlu Durum
-12,240,Şaşırmış Durum
3,125,Heyecanlı Durum
-31,104,Heyecanlı Durum
30,28,Rahatlamış Durum
-755,704,Üzgün Durum
-1384,32,Üzgün Durum
12,36,Rahatlamış Durum
3,203,Şaşırmış Durum
-93,174,Heyecanlı Durum
-2140,483,Üzgün Durum
-36,118,Heyecanlı Durum
-33,193,Şaşırmış Durum
21,11,Rahatlamış Durum
-94,215,Heyecanlı Durum
-27,30,Rahatlamış Durum
-92,84,Heyecanlı Durum
17,352,Mutlu Durum
21,412,Mutlu Durum
31,17,Rahatlamış Durum
-91,823,Sinirli Durum
-105,142,Heyecanlı Durum
18,145,Şaşırmış Durum
-86,300,Sinirli Durum
-53,371,Sinirli Durum
-8,152,Heyecanlı Durum
-66,25,Rahatlamış Durum
8,222,Şaşırmış Durum
22,182,Şaşırmış Durum
-75,53,Heyecanlı Durum
23,227,Şaşırmış Durum
-1304,697,Üzgün Durum
-84,307,Sinirli Durum
-88,108,Heyecanlı Durum
-54,829,Sinirli Durum
24,383,Mutlu Durum
-48,484,Sinirli Durum
-1395,732,Üzgün Durum
15,451,Mutlu Durum
-33,11,Rahatlamış Durum
-12,82,Heyecanlı Durum
19,389,Mutlu Durum
21,385,Mutlu Durum
-1967,675,Üzgün Durum
-549,755,Üzgün Durum
-18,184,Şaşırmış Durum
25,451,Mutlu Durum
-41,619,Sinirli Durum
5,51,Heyecanlı Durum
12,140,Şaşırmış Durum
-854,165,Üzgün Durum
-29,79,Heyecanlı Durum
-2,187,Şaşırmış Durum
-42,570,Sinirli Durum
-78,632,Sinirli Durum
-78,684,Sinirli Durum
-93,77,Heyecanlı Durum
-41,596,Sinirli Durum
18,407,Mutlu Durum
-872,187,Üzgün Durum
23,27,Rahatlamış Durum
18,430,Mutlu Durum
-78,206,Heyecanlı Durum
-60,15,Rahatlamış Durum
-29,200,Heyecanlı Durum
24,461,Mutlu Durum
27,454,Mutlu Durum
18,419,Mutlu Durum
-97,511,Sinirli Durum
-17,246,Şaşırmış Durum
-72,756,Sinirli Durum
-47,21,Rahatlamış Durum
-91,396,Sinirli Durum
24,60,Heyecanlı Durum
-6,246,Şaşırmış Durum
16,438,Mutlu Durum
29,397,Mutlu Durum
-2,233,Şaşırmış Durum
21,234,Şaşırmış Durum
-48,414,Sinirli Durum
-918,757,Üzgün Durum
-10,70,Heyecanlı Durum
-38,29,Rahatlamış Durum
-62,481,Sinirli Durum
-2772,109,Üzgün Durum
35,405,Mutlu Durum
-37,131,Şaşırmış Durum
25,378,Mutlu Durum
29,475,Mutlu Durum
-19,193,Şaşırmış Durum
31,23,Rahatlamış Durum
-81,547,Sinirli Durum
-30,223,Şaşırmış Durum
13,259,Şaşırmış Durum
5,24,Rahatlamış Durum
-344,692,Üzgün Durum
17,436,Mutlu Durum
-2158,264,Üzgün Durum
-74,481,Sinirli Durum
32,388,Mutlu Durum
34,463,Mutlu Durum
-406,762,Üzgün Durum
-29,36,Rahatlamış Durum
-32,124,Heyecanlı Durum
20,437,Mutlu Durum
-100,532,Sinirli Durum
-2515,240,Üzgün Durum
-1824,142,Üzgün Durum
-47,732,Sinirli Durum
25,474,Mutlu Durum
-2055,636,Üzgün Durum
34,431,Mutlu Durum
28,144,Heyecanlı Durum
25,14,Rahatlamış Durum
8,150,Şaşırmış Durum
-14,129,Heyecanlı Durum
9,168,Şaşırmış Durum
-27,25,Rahatlamış Durum
20,186,Şaşırmış Durum
-105,201,Heyecanlı Durum
-78,237,Sinirli Durum
-41,368,Sinirli Durum
-26,152,Heyecanlı Durum
-11,196,Şaşırmış Durum
-85,106,Sinirli Durum
-64,89,Heyecanlı Durum
33,403,Mutlu Durum
-36,193,Şaşırmış Durum
29,403,Mutlu Durum
-6,210,Şaşırmış Durum
28,416,Mutlu Durum
46,384,Üzgün Durum
-2945,687,Üzgün Durum
-25,213,Şaşırmış Durum
15,428,Mutlu Durum
-76,710,Sinirli Durum
8,35,Rahatlamış Durum
-2780,175,Üzgün Durum
1,226,Şaşırmış Durum
4,173,Şaşırmış Durum
25,245,Şaşırmış Durum
-102,127,Heyecanlı Durum
-63,82,Heyecanlı Durum
-910,195,Üzgün Durum
-75,603,Sinirli Durum
-2497,115,Üzgün Durum
-105,220,Heyecanlı Durum
33,398,Mutlu Durum
32,400,Mutlu Durum
-13,203,Şaşırmış Durum
-67,11,Rahatlamış Durum
-456,744,Üzgün Durum
-39,235,Sinirli Durum
-40,573,Sinirli Durum
-26,35,Rahatlamış Durum
-44,164,Sinirli Durum
-19,237,Şaşırmış Durum
-1385,102,Üzgün Durum
20,113,Heyecanlı Durum
-30,26,Rahatlamış Durum
16,427,Mutlu Durum
-72,216,Heyecanlı Durum
-2846,397,Üzgün Durum
26,453,Mutlu Durum
19,473,Mutlu Durum
20,138,Şaşırmış Durum
28,171,Şaşırmış Durum
3,32,Rahatlamış Durum
6,157,Heyecanlı Durum
-40,89,Heyecanlı Durum
-27,12,Rahatlamış Durum
22,476,Mutlu Durum
-2,245,Şaşırmış Durum
-2305,239,Üzgün Durum
-148,317,Üzgün Durum
-63,145,Sinirli Durum
23,426,Mutlu Durum
-86,495,Sinirli Durum
-45,319,Sinirli Durum
20,412,Mutlu Durum
12,130,Şaşırmış Durum
-1525,224,Üzgün Durum
27,216,Şaşırmış Durum
-1231,119,Üzgün Durum
-2400,69,Üzgün Durum
-5,194,Şaşırmış Durum
-35,533,Sinirli Durum
-26,19,Rahatlamış Durum
26,415,Mutlu Durum
11,104,Heyecanlı Durum
-99,367,Sinirli Durum
-96,755,Sinirli Durum
-2121,632,Üzgün Durum
-30,28,Rahatlamış Durum
-1982,102,Üzgün Durum
-25,25,Rahatlamış Durum
0,162,Şaşırmış Durum
-88,672,Sinirli Durum
-180,388,Üzgün Durum
21,417,Mutlu Durum
21,358,Mutlu Durum
-20,184,Şaşırmış Durum
-8,24,Rahatlamış Durum
29,119,Heyecanlı Durum
-81,801,Sinirli Durum
15,170,Heyecanlı Durum
20,352,Mutlu Durum
20,195,Şaşırmış Durum
-487,180,Üzgün Durum
25,124,Heyecanlı Durum
-91,762,Sinirli Durum
-30,229,Şaşırmış Durum
-12,34,Rahatlamış Durum
-1524,619,Üzgün Durum
-14,30,Rahatlamış Durum
-2681,284,Üzgün Durum
-87,523,Üzgün Durum
-63,31,Rahatlamış Durum
-76,197,Sinirli Durum
-2113,486,Üzgün Durum
-52,65,Heyecanlı Durum
-58,23,Rahatlamış Durum
18,433,Mutlu Durum
30,447,Mutlu Durum
33,434,Mutlu Durum
8,30,Rahatlamış Durum
-2699,450,Üzgün Durum
-20,186,Şaşırmış Durum
30,356,Mutlu Durum
-101,232,Sinirli Durum
-41,35,Rahatlamış Durum
-36,375,Sinirli Durum
9,130,Şaşırmış Durum
-491,339,Üzgün Durum
22,421,Mutlu Durum
-1,182,Şaşırmış Durum
3,34,Rahatlamış Durum
-105,612,Sinirli Durum
-74,644,Sinirli Durum
-60,106,Heyecanlı Durum
20,427,Mutlu Durum
2,212,Heyecanlı Durum
-69,14,Rahatlamış Durum
-51,36,Rahatlamış Durum
10,26,Rahatlamış Durum
-22,145,Şaşırmış Durum
24,410,Mutlu Durum
18,441,Mutlu Durum
-1747,397,Üzgün Durum
20,387,Mutlu Durum
2,206,Heyecanlı Durum
-13,11,Rahatlamış Durum
-59,32,Rahatlamış Durum
-34,138,Heyecanlı Durum
-1,185,Şaşırmış Durum
21,462,Mutlu Durum
-66,383,Sinirli Durum
-76,169,Heyecanlı Durum
19,461,Mutlu Durum
-36,173,Heyecanlı Durum
-98,470,Sinirli Durum
-10,225,Şaşırmış Durum
24,388,Mutlu Durum
-9,215,Heyecanlı Durum
-96,187,Heyecanlı Durum
-1942,364,Üzgün Durum
-33,199,Heyecanlı Durum
23,372,Mutlu Durum
-12,176,Şaşırmış Durum
-22,158,Şaşırmış Durum
29,140,Şaşırmış Durum
32,428,Mutlu Durum
-32,246,Şaşırmış Durum
32,458,Mutlu Durum
-35,32,Sinirli Durum
-87,732,Sinirli Durum
35,379,Mutlu Durum
15,378,Mutlu Durum
17,453,Mutlu Durum
-90,264,Sinirli Durum
-63,181,Sinirli Durum
-2706,439,Üzgün Durum
-34,13,Rahatlamış Durum
3,162,Heyecanlı Durum
-47,399,Sinirli Durum
24,83,Heyecanlı Durum
-4,260,Şaşırmış Durum
-93,411,Sinirli Durum
-33,182,Şaşırmış Durum
15,201,Heyecanlı Durum
-82,187,Sinirli Durum
11,28,Rahatlamış Durum
-6,17,Rahatlamış Durum
-41,810,Sinirli Durum
-2136,241,Üzgün Durum
-73,185,Sinirli Durum
29,388,Mutlu Durum
-58,15,Rahatlamış Durum
-58,311,Sinirli Durum
-2800,40,Üzgün Durum
-2982,795,Üzgün Durum
32,368,Mutlu Durum
-2100,122,Üzgün Durum
-76,82,Sinirli Durum
29,371,Mutlu Durum
-16,133,Şaşırmış Durum
-75,60,Heyecanlı Durum
30,405,Mutlu Durum
-5,24,Rahatlamış Durum
-46,169,Heyecanlı Durum
-513,184,Üzgün Durum
-60,92,Heyecanlı Durum
19,404,Mutlu Durum
32,449,Mutlu Durum
19,472,Mutlu Durum
-58,527,Sinirli Durum
-2012,570,Üzgün Durum
12,172,Şaşırmış Durum
-57,33,Rahatlamış Durum
-591,353,Üzgün Durum
-46,21,Rahatlamış Durum
33,439,Mutlu Durum
13,128,Şaşırmış Durum
28,463,Mutlu Durum
-17,206,Şaşırmış Durum
17,28,Rahatlamış Durum
-71,717,Üzgün Durum
18,195,Şaşırmış Durum
-105,59,Sinirli Durum
33,424,Mutlu Durum
-2888,649,Üzgün Durum
22,362,Mutlu Durum
-446,695,Üzgün Durum
-68,16,Rahatlamış Durum
-5,29,Rahatlamış Durum
20,446,Mutlu Durum
17,359,Mutlu Durum
9,11,Rahatlamış Durum
23,477,Mutlu Durum
-1316,200,Üzgün Durum
-73,830,Sinirli Durum
-55,34,Rahatlamış Durum
-1293,123,Üzgün Durum
9,35,Rahatlamış Durum
-1730,783,Üzgün Durum
-10,17,Rahatlamış Durum
-58,789,Sinirli Durum
-57,50,Heyecanlı Durum
-33,186,Şaşırmış Durum
17,28,Rahatlamış Durum
-58,520,Sinirli Durum
-16,150,Heyecanlı Durum
19,422,Mutlu Durum
-55,721,Sinirli Durum
29,350,Mutlu Durum
-55,35,Rahatlamış Durum
26,183,Heyecanlı Durum
-97,133,Sinirli Durum
-49,200,Sinirli Durum
-35,208,Şaşırmış Durum
-1095,556,Üzgün Durum
-97,207,Sinirli Durum
-68,138,Sinirli Durum
-16,30,Rahatlamış Durum
-2357,239,Üzgün Durum
-56,647,Sinirli Durum
-2332,557,Üzgün Durum
-91,826,Sinirli Durum
-1043,365,Üzgün Durum
-2131,227,Üzgün Durum
26,393,Mutlu Durum
33,176,Heyecanlı Durum
26,60,Heyecanlı Durum
-41,20,Rahatlamış Durum
-103,207,Heyecanlı Durum
-74,660,Sinirli Durum
4,229,Şaşırmış Durum
35,431,Mutlu Durum
-35,222,Şaşırmış Durum
30,353,Mutlu Durum
-64,35,Rahatlamış Durum
-99,728,Sinirli Durum
-3097,662,Üzgün Durum
-2684,529,Üzgün Durum
-22,25,Rahatlamış Durum
-8,17,Rahatlamış Durum
-30,20,Rahatlamış Durum
13,204,Şaşırmış Durum
-1489,86,Üzgün Durum
-6,28,Rahatlamış Durum
-11,204,Heyecanlı Durum
-2796,23,Üzgün Durum
14,90,Heyecanlı Durum
-2277,352,Üzgün Durum
-38,420,Sinirli Durum
-92,796,Sinirli Durum
29,142,Heyecanlı Durum
-4,185,Şaşırmış Durum
-65,14,Rahatlamış Durum
-445,299,Üzgün Durum
-5,135,Şaşırmış Durum
12,210,Şaşırmış Durum
35,468,Mutlu Durum
-54,272,Sinirli Durum
-791,259,Üzgün Durum
2,13,Rahatlamış Durum
-30,145,Heyecanlı Durum
8,146,Heyecanlı Durum
-20,13,Rahatlamış Durum
15,376,Mutlu Durum
-3047,359,Üzgün Durum
-52,79,Heyecanlı Durum
34,417,Mutlu Durum
28,472,Mutlu Durum
3,259,Şaşırmış Durum
-11,26,Rahatlamış Durum
19,404,Mutlu Durum
-35,130,Şaşırmış Durum
-23,16,Rahatlamış Durum
14,214,Şaşırmış Durum
-56,489,Sinirli Durum
28,412,Mutlu Durum
-40,47,Sinirli Durum
-89,726,Sinirli Durum
-72,220,Heyecanlı Durum
-75,146,Heyecanlı Durum
15,429,Mutlu Durum
19,417,Mutlu Durum
-65,36,Rahatlamış Durum
-29,127,Şaşırmış Durum
-2873,566,Üzgün Durum
23,17,Rahatlamış Durum
23,476,Mutlu Durum
1,164,Şaşırmış Durum
-971,428,Üzgün Durum
-43,26,Rahatlamış Durum
16,400,Mutlu Durum
33,28,Rahatlamış Durum
-77,176,Heyecanlı Durum
-1377,670,Üzgün Durum
3,26,Rahatlamış Durum
-970,340,Üzgün Durum
-41,401,Sinirli Durum
-222,408,Üzgün Durum
26,351,Mutlu Durum
2,149,Şaşırmış Durum
-88,466,Sinirli Durum
-50,451,Sinirli Durum
-86,138,Sinirli Durum
-61,453,Sinirli Durum
26,461,Mutlu Durum
-393,738,Üzgün Durum
-59,164,Heyecanlı Durum
-27,173,Şaşırmış Durum
-24,164,Heyecanlı Durum
-63,51,Heyecanlı Durum
30,225,Şaşırmış Durum
-90,304,Sinirli Durum
25,359,Mutlu Durum
26,150,Şaşırmış Durum
-968,393,Üzgün Durum
-65,603,Sinirli Durum
32,469,Mutlu Durum
-17,12,Rahatlamış Durum
25,411,Mutlu Durum
1,177,Heyecanlı Durum
-60,132,Sinirli Durum
-57,152,Sinirli Durum
-69,14,Rahatlamış Durum
-51,28,Rahatlamış Durum
-8,191,Şaşırmış Durum
15,13,Rahatlamış Durum
20,25,Rahatlamış Durum
-1385,737,Üzgün Durum
-86,827,Sinirli Durum
23,177,Şaşırmış Durum
20,424,Mutlu Durum
-15,217,Heyecanlı Durum
5,23,Rahatlamış Durum
-32,29,Rahatlamış Durum
-53,209,Heyecanlı Durum
-3144,54,Üzgün Durum
10,28,Rahatlamış Durum
28,215,Şaşırmış Durum
23,449,Mutlu Durum
26,169,Şaşırmış Durum
34,37,Rahatlamış Durum
-1,254,Şaşırmış Durum
-26,15,Rahatlamış Durum
-59,240,Sinirli Durum
-23,84,Heyecanlı Durum
13,238,Şaşırmış Durum
-1079,132,Üzgün Durum
-39,737,Sinirli Durum
20,407,Mutlu Durum
2,211,Heyecanlı Durum
-82,165,Heyecanlı Durum
-19,208,Şaşırmış Durum
-53,22,Rahatlamış Durum
18,442,Mutlu Durum
10,138,Şaşırmış Durum
19,187,Şaşırmış Durum
-54,18,Rahatlamış Durum
-35,139,Şaşırmış Durum
27,14,Rahatlamış Durum
-46,64,Heyecanlı Durum
-91,258,Sinirli Durum
-89,513,Sinirli Durum
29,470,Mutlu Durum
-38,376,Sinirli Durum
-683,531,Üzgün Durum
-19,145,Şaşırmış Durum
35,377,Mutlu Durum
-13,25,Rahatlamış Durum
21,398,Mutlu Durum
35,403,Mutlu Durum
-76,151,Heyecanlı Durum
-2315,205,Üzgün Durum
23,249,Şaşırmış Durum
-64,273,Sinirli Durum
-19,161,Şaşırmış Durum
22,423,Mutlu Durum
-645,430,Üzgün Durum
-36,639,Sinirli Durum
-800,332,Üzgün Durum
29,234,Şaşırmış Durum
-508,148,Üzgün Durum
-2003,130,Üzgün Durum
-82,59,Heyecanlı Durum
-23,179,Şaşırmış Durum
5,19,Rahatlamış Durum
16,413,Mutlu Durum
35,15,Rahatlamış Durum
-10,225,Şaşırmış Durum
-36,37,Rahatlamış Durum
-26,83,Heyecanlı Durum
-24,69,Heyecanlı Durum
-23,201,Heyecanlı Durum
-51,681,Sinirli Durum
12,75,Heyecanlı Durum
20,464,Mutlu Durum
-38,242,Şaşırmış Durum
24,27,Rahatlamış Durum
23,12,Rahatlamış Durum
35,453,Mutlu Durum
12,225,Şaşırmış Durum
-24,13,Rahatlamış Durum
-99,756,Sinirli Durum
-15,253,Şaşırmış Durum
-75,530,Sinirli Durum
-99,24,Sinirli Durum
31,412,Mutlu Durum
35,457,Mutlu Durum
-44,104,Heyecanlı Durum
-59,167,Heyecanlı Durum
29,211,Şaşırmış Durum
-2217,92,Üzgün Durum
-98,495,Sinirli Durum
14,172,Şaşırmış Durum
10,258,Şaşırmış Durum
25,357,Mutlu Durum
-1239,513,Üzgün Durum
-100,783,Sinirli Durum
-12,196,Heyecanlı Durum
-31,95,Heyecanlı Durum
-57,324,Sinirli Durum
-1006,797,Üzgün Durum
12,204,Şaşırmış Durum
-98,85,Heyecanlı Durum
-36,735,Üzgün Durum
21,466,Mutlu Durum
-56,13,Rahatlamış Durum
-72,610,Sinirli Durum
-2631,779,Üzgün Durum
-157,788,Üzgün Durum
-73,596,Sinirli Durum
-84,655,Sinirli Durum
15,372,Mutlu Durum
-529,636,Üzgün Durum
-46,55,Heyecanlı Durum
-6,153,Heyecanlı Durum
-3,24,Rahatlamış Durum
-10,74,Heyecanlı Durum
25,170,Şaşırmış Durum
-2,144,Şaşırmış Durum
-105,778,Üzgün Durum
-25,196,Şaşırmış Durum
-1954,466,Üzgün Durum
-29,28,Rahatlamış Durum
-1913,705,Üzgün Durum
-21,37,Rahatlamış Durum
-36,228,Şaşırmış Durum
33,451,Mutlu Durum
-1213,419,Üzgün Durum
-3276,138,Üzgün Durum
23,226,Şaşırmış Durum
18,361,Mutlu Durum
-53,667,Sinirli Durum
-1639,760,Üzgün Durum
-72,106,Sinirli Durum
-83,63,Heyecanlı Durum
-12,68,Heyecanlı Durum
-39,182,Şaşırmış Durum
25,193,Şaşırmış Durum
-105,229,Sinirli Durum
-84,176,Heyecanlı Durum
-37,119,Heyecanlı Durum
-62,710,Sinirli Durum
-120,437,Üzgün Durum
31,367,Mutlu Durum
25,37,Rahatlamış Durum
34,14,Rahatlamış Durum
-794,750,Üzgün Durum
19,367,Mutlu Durum
-2182,354,Üzgün Durum
27,402,Mutlu Durum
-1719,176,Üzgün Durum
-105,123,Sinirli Durum
33,416,Mutlu Durum
-16,31,Rahatlamış Durum
-518,727,Üzgün Durum
31,398,Mutlu Durum
-5,103,Heyecanlı Durum
33,440,Mutlu Durum
-28,51,Heyecanlı Durum
-1463,471,Üzgün Durum
23,379,Mutlu Durum
-68,191,Sinirli Durum
-21,177,Şaşırmış Durum
-18,192,Şaşırmış Durum
-20,179,Heyecanlı Durum
-1629,99,Üzgün Durum
-31,27,Rahatlamış Durum
-66,777,Sinirli Durum
-2766,550,Üzgün Durum
19,434,Mutlu Durum
-27,11,Rahatlamış Durum
-400,50,Üzgün Durum
25,217,Heyecanlı Durum
-20,32,Rahatlamış Durum
34,368,Mutlu Durum
-7,172,Şaşırmış Durum
-1778,100,Üzgün Durum
-68,20,Rahatlamış Durum
5,176,Şaşırmış Durum
-167,516,Üzgün Durum
-51,13,Rahatlamış Durum
-30,125,Heyecanlı Durum
-70,174,Heyecanlı Durum
18,388,Mutlu Durum
1,551,Üzgün Durum
16,414,Mutlu Durum
13,95,Heyecanlı Durum
28,364,Mutlu Durum
-42,647,Sinirli Durum
-103,155,Sinirli Durum
14,24,Rahatlamış Durum
10,217,Şaşırmış Durum
-193,14,Üzgün Durum
-41,35,Rahatlamış Durum
-9,23,Rahatlamış Durum
-68,391,Sinirli Durum
18,376,Mutlu Durum
-98,532,Sinirli Durum
17,20,Rahatlamış Durum
-149,749,Üzgün Durum
-2581,264,Üzgün Durum
-13,235,Şaşırmış Durum
26,461,Mutlu Durum
-13,128,Heyecanlı Durum
23,23,Rahatlamış Durum
22,448,Mutlu Durum
29,390,Mutlu Durum
32,420,Mutlu Durum
-36,188,Şaşırmış Durum
17,480,Mutlu Durum
-1620,589,Üzgün Durum
35,32,Rahatlamış Durum
-16,233,Şaşırmış Durum
-2987,565,Üzgün Durum
-91,60,Heyecanlı Durum
-34,260,Şaşırmış Durum
-2204,623,Üzgün Durum
-58,118,Heyecanlı Durum
-48,75,Heyecanlı Durum
-73,128,Sinirli Durum
16,259,Şaşırmış Durum
-1030,662,Üzgün Durum
-69,25,Rahatlamış Durum
25,426,Mutlu Durum
-16,206,Şaşırmış Durum
-2601,404,Üzgün Durum
-53,627,Sinirli Durum
28,183,Heyecanlı Durum
-37,209,Heyecanlı Durum
21,435,Mutlu Durum
25,129,Şaşırmış Durum
-73,544,Sinirli Durum
33,103,Heyecanlı Durum
-807,387,Üzgün Durum
32,450,Mutlu Durum
-2053,128,Üzgün Durum
25,448,Mutlu Durum
21,356,Mutlu Durum
5,13,Rahatlamış Durum
-2549,277,Üzgün Durum
33,17,Rahatlamış Durum
24,18,Rahatlamış Durum
32,13,Rahatlamış Durum
34,14,Rahatlamış Durum
-75,133,Heyecanlı Durum
-3263,739,Üzgün Durum
-73,92,Heyecanlı Durum
-40,490,Sinirli Durum
31,360,Mutlu Durum
-25,89,Heyecanlı Durum
27,361,Mutlu Durum
-48,667,Sinirli Durum
-46,76,Heyecanlı Durum
-22,200,Şaşırmış Durum
-64,219,Heyecanlı Durum
29,434,Mutlu Durum
-93,126,Heyecanlı Durum
21,398,Mutlu Durum
26,413,Mutlu Durum
-4,226,Şaşırmış Durum
15,452,Mutlu Durum
3,17,Rahatlamış Durum
-1588,73,Üzgün Durum
-100,458,Sinirli Durum
16,472,Mutlu Durum
25,128,Heyecanlı Durum
-38,286,Sinirli Durum
-62,222,Sinirli Durum
-18,36,Rahatlamış Durum
-493,713,Üzgün Durum
32,410,Mutlu Durum
-7,196,Şaşırmış Durum
-896,607,Üzgün Durum
-20,260,Şaşırmış Durum
34,371,Mutlu Durum
-13,14,Rahatlamış Durum
-52,724,Sinirli Durum
23,32,Rahatlamış Durum
-32,181,Şaşırmış Durum
-93,128,Sinirli Durum
-73,124,Heyecanlı Durum
-16,143,Şaşırmış Durum
-1669,419,Üzgün Durum
14,152,Heyecanlı Durum
-58,27,Rahatlamış Durum
-19,68,Heyecanlı Durum
20,149,Heyecanlı Durum
19,424,Mutlu Durum
-84,718,Sinirli Durum
-10,30,Rahatlamış Durum
-101,547,Sinirli Durum
-3,32,Rahatlamış Durum
-44,32,Rahatlamış Durum
35,374,Mutlu Durum
28,472,Mutlu Durum
24,436,Mutlu Durum
9,23,Rahatlamış Durum
20,162,Heyecanlı Durum
-41,36,Rahatlamış Durum
18,395,Mutlu Durum
29,440,Mutlu Durum
-40,161,Şaşırmış Durum
-46,796,Sinirli Durum
31,469,Mutlu Durum
-95,60,Heyecanlı Durum
-36,178,Şaşırmış Durum
30,373,Mutlu Durum
-2605,412,Üzgün Durum
30,439,Mutlu Durum
-290,237,Üzgün Durum
28,474,Mutlu Durum
-89,656,Sinirli Durum
-13,157,Şaşırmış Durum
-35,149,Heyecanlı Durum
17,364,Mutlu Durum
-1228,636,Üzgün Durum
24,448,Mutlu Durum
-69,148,Heyecanlı Durum
-16,13,Rahatlamış Durum
7,196,Şaşırmış Durum
-2521,171,Üzgün Durum
-2751,595,Üzgün Durum
17,162,Heyecanlı Durum
20,155,Şaşırmış Durum
-14,158,Şaşırmış Durum
19,477,Mutlu Durum
-3,247,Şaşırmış Durum
-57,211,Heyecanlı Durum
25,252,Şaşırmış Durum
-30,164,Şaşırmış Durum
10,180,Heyecanlı Durum
21,221,Şaşırmış Durum
4,14,Rahatlamış Durum
8,144,Heyecanlı Durum
-71,324,Sinirli Durum
-31,224,Şaşırmış Durum
-13,216,Şaşırmış Durum
34,14,Rahatlamış Durum
-97,684,Sinirli Durum
21,36,Rahatlamış Durum
-43,29,Rahatlamış Durum
-398,428,Üzgün Durum
-54,133,Heyecanlı Durum
33,418,Mutlu Durum
22,51,Heyecanlı Durum
-1366,713,Üzgün Durum
-43,120,Heyecanlı Durum
-96,73,Heyecanlı Durum
-58,172,Heyecanlı Durum
-61,292,Sinirli Durum
-2794,501,Üzgün Durum
-101,585,Sinirli Durum
30,81,Heyecanlı Durum
-89,66,Sinirli Durum
-24,88,Heyecanlı Durum
-66,458,Sinirli Durum
-1861,449,Üzgün Durum
-15,114,Heyecanlı Durum
-2994,337,Üzgün Durum
-2,254,Şaşırmış Durum
23,444,Mutlu Durum
-103,589,Sinirli Durum
15,132,Şaşırmış Durum
6,199,Heyecanlı Durum
-100,115,Heyecanlı Durum
-2148,476,Üzgün Durum
22,450,Mutlu Durum
-38,105,Heyecanlı Durum
-232,302,Üzgün Durum
20,193,Şaşırmış Durum
16,436,Mutlu Durum
-44,192,Heyecanlı Durum
24,435,Mutlu Durum
5,224,Şaşırmış Durum
-39,20,Rahatlamış Durum
27,375,Mutlu Durum
24,427,Mutlu Durum
-105,579,Sinirli Durum
